id,state,year,value
ac2008,ac,2008,0
al2008,al,2008,0
am2008,am,2008,0
ap2008,ap,2008,0
ba2008,ba,2008,0
ce2008,ce,2008,0
df2008,df,2008,0
es2008,es,2008,0
go2008,go,2008,0
ma2008,ma,2008,0
mg2008,mg,2008,0
ms2008,ms,2008,0
mt2008,mt,2008,0
pa2008,pa,2008,0
pb2008,pb,2008,0
pe2008,pe,2008,0
pi2008,pi,2008,0
pr2008,pr,2008,0
rj2008,rj,2008,0
rn2008,rn,2008,0
ro2008,ro,2008,0
rr2008,rr,2008,0
rs2008,rs,2008,0
sc2008,sc,2008,0
se2008,se,2008,0
sp2008,sp,2008,0
to2008,to,2008,0
ac2009,ac,2009,0
al2009,al,2009,0
am2009,am,2009,0
ap2009,ap,2009,0
ba2009,ba,2009,0
ce2009,ce,2009,0
df2009,df,2009,0
es2009,es,2009,0
go2009,go,2009,0
ma2009,ma,2009,0
mg2009,mg,2009,0
ms2009,ms,2009,0
mt2009,mt,2009,0
pa2009,pa,2009,0
pb2009,pb,2009,0
pe2009,pe,2009,0
pi2009,pi,2009,0
pr2009,pr,2009,0
rj2009,rj,2009,0
rn2009,rn,2009,0
ro2009,ro,2009,0
rr2009,rr,2009,0
rs2009,rs,2009,0
sc2009,sc,2009,0
se2009,se,2009,0
sp2009,sp,2009,0
to2009,to,2009,0
ac2010,ac,2010,0
al2010,al,2010,0
am2010,am,2010,0
ap2010,ap,2010,0
ba2010,ba,2010,0
ce2010,ce,2010,0
df2010,df,2010,0
es2010,es,2010,0
go2010,go,2010,0
ma2010,ma,2010,0
mg2010,mg,2010,0
ms2010,ms,2010,0
mt2010,mt,2010,0
pa2010,pa,2010,0
pb2010,pb,2010,0
pe2010,pe,2010,0
pi2010,pi,2010,0
pr2010,pr,2010,0
rj2010,rj,2010,0
rn2010,rn,2010,0
ro2010,ro,2010,0
rr2010,rr,2010,0
rs2010,rs,2010,0
sc2010,sc,2010,0
se2010,se,2010,0
sp2010,sp,2010,0
to2010,to,2010,0
ac2011,ac,2011,0
al2011,al,2011,0
am2011,am,2011,0
ap2011,ap,2011,0
ba2011,ba,2011,0
ce2011,ce,2011,0
df2011,df,2011,0
es2011,es,2011,0
go2011,go,2011,0
ma2011,ma,2011,0
mg2011,mg,2011,0
ms2011,ms,2011,0
mt2011,mt,2011,0
pa2011,pa,2011,0
pb2011,pb,2011,0
pe2011,pe,2011,0
pi2011,pi,2011,0
pr2011,pr,2011,0
rj2011,rj,2011,0
rn2011,rn,2011,0
ro2011,ro,2011,0
rr2011,rr,2011,0
rs2011,rs,2011,0
sc2011,sc,2011,0
se2011,se,2011,0
sp2011,sp,2011,0
to2011,to,2011,0
ac2012,ac,2012,0
al2012,al,2012,0
am2012,am,2012,0
ap2012,ap,2012,0
ba2012,ba,2012,0
ce2012,ce,2012,0
df2012,df,2012,0
es2012,es,2012,0
go2012,go,2012,0
ma2012,ma,2012,0
mg2012,mg,2012,0
ms2012,ms,2012,0
mt2012,mt,2012,0
pa2012,pa,2012,0
pb2012,pb,2012,0
pe2012,pe,2012,0
pi2012,pi,2012,0
pr2012,pr,2012,0
rj2012,rj,2012,0
rn2012,rn,2012,0
ro2012,ro,2012,0
rr2012,rr,2012,0
rs2012,rs,2012,0
sc2012,sc,2012,0
se2012,se,2012,0
sp2012,sp,2012,0
to2012,to,2012,0
ac2013,ac,2013,0
al2013,al,2013,0
am2013,am,2013,0
ap2013,ap,2013,0
ba2013,ba,2013,0
ce2013,ce,2013,0
df2013,df,2013,0
es2013,es,2013,0
go2013,go,2013,0
ma2013,ma,2013,0
mg2013,mg,2013,0
ms2013,ms,2013,0
mt2013,mt,2013,0
pa2013,pa,2013,0
pb2013,pb,2013,0
pe2013,pe,2013,0
pi2013,pi,2013,0
pr2013,pr,2013,0
rj2013,rj,2013,0
rn2013,rn,2013,0
ro2013,ro,2013,0
rr2013,rr,2013,0
rs2013,rs,2013,0
sc2013,sc,2013,0
se2013,se,2013,0
sp2013,sp,2013,0
to2013,to,2013,0
ac2014,ac,2014,0
al2014,al,2014,0
am2014,am,2014,0
ap2014,ap,2014,0
ba2014,ba,2014,0
ce2014,ce,2014,0
df2014,df,2014,0
es2014,es,2014,0
go2014,go,2014,0
ma2014,ma,2014,0
mg2014,mg,2014,0
ms2014,ms,2014,0
mt2014,mt,2014,0
pa2014,pa,2014,0
pb2014,pb,2014,0
pe2014,pe,2014,0
pi2014,pi,2014,0
pr2014,pr,2014,0
rj2014,rj,2014,0
rn2014,rn,2014,0
ro2014,ro,2014,0
rr2014,rr,2014,0
rs2014,rs,2014,0
sc2014,sc,2014,0
se2014,se,2014,0
sp2014,sp,2014,0
to2014,to,2014,0
ac2015,ac,2015,0
al2015,al,2015,0
am2015,am,2015,0
ap2015,ap,2015,0
ba2015,ba,2015,0
ce2015,ce,2015,0
df2015,df,2015,0
es2015,es,2015,0
go2015,go,2015,0
ma2015,ma,2015,0
mg2015,mg,2015,0
ms2015,ms,2015,0
mt2015,mt,2015,0
pa2015,pa,2015,0
pb2015,pb,2015,0
pe2015,pe,2015,0
pi2015,pi,2015,0
pr2015,pr,2015,0
rj2015,rj,2015,0
rn2015,rn,2015,0
ro2015,ro,2015,0
rr2015,rr,2015,0
rs2015,rs,2015,0
sc2015,sc,2015,0
se2015,se,2015,0
sp2015,sp,2015,0
to2015,to,2015,0
ac2016,ac,2016,0
al2016,al,2016,0
am2016,am,2016,0
ap2016,ap,2016,0
ba2016,ba,2016,0
ce2016,ce,2016,0
df2016,df,2016,0
es2016,es,2016,0
go2016,go,2016,0
ma2016,ma,2016,0
mg2016,mg,2016,1
ms2016,ms,2016,0
mt2016,mt,2016,0
pa2016,pa,2016,0
pb2016,pb,2016,0
pe2016,pe,2016,0
pi2016,pi,2016,0
pr2016,pr,2016,0
rj2016,rj,2016,1
rn2016,rn,2016,0
ro2016,ro,2016,0
rr2016,rr,2016,0
rs2016,rs,2016,1
sc2016,sc,2016,0
se2016,se,2016,0
sp2016,sp,2016,0
to2016,to,2016,0
