id,state,year,value
ac2008,ac,2008,387703624.66
al2008,al,2008,543575623
am2008,am,2008,1451209844.47
ap2008,ap,2008,156813255
ba2008,ba,2008,1639270530.14
ce2008,ce,2008,2251383884
df2008,df,2008,1682396852.22
es2008,es,2008,2521654546.83
go2008,go,2008,1505462444.46
ma2008,ma,2008,1354394233.1600001
mg2008,mg,2008,3581745356.58
ms2008,ms,2008,1401305764.63
mt2008,mt,2008,1550272325.75
pa2008,pa,2008,984018720.22
pb2008,pb,2008,457992110.95
pe2008,pe,2008,1280344715.76
pi2008,pi,2008,410995875.67
pr2008,pr,2008,2763726643
rj2008,rj,2008,4722640000
rn2008,rn,2008,615671872.79
ro2008,ro,2008,673289065.77
rr2008,rr,2008,756651095.03
rs2008,rs,2008,7005761346.84
sc2008,sc,2008,1779450648.8
se2008,se,2008,724680987.17
sp2008,sp,2008,18737407603.58
to2008,to,2008,514811687.69
ac2009,ac,2009,465917440.75
al2009,al,2009,824659223.5
am2009,am,2009,1349461399.02
ap2009,ap,2009,290392190.93
ba2009,ba,2009,1101501657.0799999
ce2009,ce,2009,2496415270
df2009,df,2009,1752056298.48
es2009,es,2009,2545520367.17
go2009,go,2009,1508258374.93
ma2009,ma,2009,1315128721.8699999
mg2009,mg,2009,3053625166.6199999
ms2009,ms,2009,1273411106.26
mt2009,mt,2009,1523688022.0799999
pa2009,pa,2009,976309166.09
pb2009,pb,2009,818530121.16999996
pe2009,pe,2009,1341683644.82
pi2009,pi,2009,470769270.08
pr2009,pr,2009,2667383325.23
rj2009,rj,2009,4813232000
rn2009,rn,2009,685327003.48
ro2009,ro,2009,484207808.13
rr2009,rr,2009,272552395.26
rs2009,rs,2009,6651092598.27
sc2009,sc,2009,1532956527.73
se2009,se,2009,546963775
sp2009,sp,2009,20551288882.49
to2009,to,2009,587511172.56
ac2010,ac,2010,334481016.01
al2010,al,2010,1126458722.01
am2010,am,2010,1073910848.33
ap2010,ap,2010,295874624
ba2010,ba,2010,1749702629.96
ce2010,ce,2010,2146926202.73
df2010,df,2010,1928470516.04
es2010,es,2010,2207439969.12
go2010,go,2010,934369461.25
ma2010,ma,2010,1800526281.79
mg2010,mg,2010,2928877728.98
ms2010,ms,2010,1091567052.37
mt2010,mt,2010,158016955.57
pa2010,pa,2010,1594187846.62
pb2010,pb,2010,519644490.04
pe2010,pe,2010,2437710481.83
pi2010,pi,2010,453536357.38
pr2010,pr,2010,2871675371
rj2010,rj,2010,5267277505
rn2010,rn,2010,772945641.2
ro2010,ro,2010,369888086.61000001
rr2010,rr,2010,"NA"
rs2010,rs,2010,6098391638.69
sc2010,sc,2010,1585068525.55
se2010,se,2010,455545319.54
sp2010,sp,2010,24314490123.83
to2010,to,2010,499595535.37
ac2011,ac,2011,405984254.9
al2011,al,2011,1012980687.81
am2011,am,2011,1448617145.83
ap2011,ap,2011,514634309
ba2011,ba,2011,1991477181.96
ce2011,ce,2011,1063967807.19
df2011,df,2011,1214081724.8
es2011,es,2011,2507914071.57
go2011,go,2011,2468952503.52
ma2011,ma,2011,2382384554.05
mg2011,mg,2011,3260802892.55
ms2011,ms,2011,1171057518.44
mt2011,mt,2011,126018256.42
pa2011,pa,2011,2508875986.61
pb2011,pb,2011,1077696958.08
pe2011,pe,2011,2379305255.22
pi2011,pi,2011,653635776.28
pr2011,pr,2011,3710665006.93
rj2011,rj,2011,6819247601
rn2011,rn,2011,671804954.3
ro2011,ro,2011,562836788.09000003
rr2011,rr,2011,1722742639.09
rs2011,rs,2011,6341598256.86
sc2011,sc,2011,2166718927.18
se2011,se,2011,592368662.17
sp2011,sp,2011,30479196691.55
to2011,to,2011,456889505.19
ac2012,ac,2012,751151529.63
al2012,al,2012,1005195063.51
am2012,am,2012,2073819263.26
ap2012,ap,2012,1064570919.4
ba2012,ba,2012,4023953937.81
ce2012,ce,2012,2699921322.74
df2012,df,2012,1395393385.25
es2012,es,2012,3557624039.36
go2012,go,2012,2916916946.56
ma2012,ma,2012,720179085.19
mg2012,mg,2012,4122534331.23
ms2012,ms,2012,1189974305.86
mt2012,mt,2012,220188768.14
pa2012,pa,2012,3751856730.27
pb2012,pb,2012,1100263712.88
pe2012,pe,2012,2873042861.14
pi2012,pi,2012,1193618767.73
pr2012,pr,2012,5351456336.97
rj2012,rj,2012,6806929287
rn2012,rn,2012,810564778.25
ro2012,ro,2012,421876829.87
rr2012,rr,2012,"NA"
rs2012,rs,2012,7576712002.37
sc2012,sc,2012,1829013546.84
se2012,se,2012,527307184.92
sp2012,sp,2012,29356758000
to2012,to,2012,926717125.74
ac2013,ac,2013,676302339.03
al2013,al,2013,1387466845.1
am2013,am,2013,2020789600.71
ap2013,ap,2013,1416000382.06
ba2013,ba,2013,5310135522.22
ce2013,ce,2013,3241149034.83
df2013,df,2013,1064270767.21
es2013,es,2013,3555424337.76
go2013,go,2013,2785589897.98
ma2013,ma,2013,1003117964.22
mg2013,mg,2013,5456063813.86
ms2013,ms,2013,1417383506.93
mt2013,mt,2013,327150814.78
pa2013,pa,2013,3839336038.47
pb2013,pb,2013,1112826401.24
pe2013,pe,2013,3548093397.17
pi2013,pi,2013,1230267620.22
pr2013,pr,2013,4232998379.92
rj2013,rj,2013,8071078371
rn2013,rn,2013,958053151.85
ro2013,ro,2013,623292830.38
rr2013,rr,2013,338893722.95
rs2013,rs,2013,12212386567.01
sc2013,sc,2013,2692081447.08
se2013,se,2013,694850026.41
sp2013,sp,2013,28835833929.46
to2013,to,2013,803543210.4
ac2014,ac,2014,561134241.74
al2014,al,2014,959825152.52
am2014,am,2014,1883839726.7
ap2014,ap,2014,1027896422.53
ba2014,ba,2014,6184259815.4
ce2014,ce,2014,2549452952
df2014,df,2014,957502609.54
es2014,es,2014,1940538904.78
go2014,go,2014,3334753589.78
ma2014,ma,2014,1373081404.38
mg2014,mg,2014,5013668450.49
ms2014,ms,2014,755342169.39
mt2014,mt,2014,302780166.52
pa2014,pa,2014,4903858237.24
pb2014,pb,2014,1180772000
pe2014,pe,2014,2512778631.83
pi2014,pi,2014,770426667.71
pr2014,pr,2014,2982728962.87
rj2014,rj,2014,7387362793
rn2014,rn,2014,690684135.92999995
ro2014,ro,2014,706965985.68
rr2014,rr,2014,736994902.25
rs2014,rs,2014,13558392918.62
sc2014,sc,2014,3027519098.84
se2014,se,2014,994546887.6
sp2014,sp,2014,22830579972.01
to2014,to,2014,564167569.83
ac2015,ac,2015,503733050.9
al2015,al,2015,1345359387.22
am2015,am,2015,1218061312.09
ap2015,ap,2015,1741427230.9
ba2015,ba,2015,6217355559.37
ce2015,ce,2015,2377935262.39
df2015,df,2015,1919671239.4
es2015,es,2015,3721515925.89
go2015,go,2015,3456176622.08
ma2015,ma,2015,1122622774.17
mg2015,mg,2015,2286274101.86
ms2015,ms,2015,1189827476.24
mt2015,mt,2015,1106258269.07
pa2015,pa,2015,5224751429.11
pb2015,pb,2015,1065299354
pe2015,pe,2015,2839803947.7
pi2015,pi,2015,982665719.36
pr2015,pr,2015,5046050617.9399996
rj2015,rj,2015,6012595391
rn2015,rn,2015,"NA"
ro2015,ro,2015,777180004.97
rr2015,rr,2015,1655497922.45
rs2015,rs,2015,15705362969.06
sc2015,sc,2015,2996446560.54
se2015,se,2015,1066349716.06
sp2015,sp,2015,24854506751.39
to2015,to,2015,4529214093.2
ac2016,ac,2016,703563299.63
al2016,al,2016,742216888.7
am2016,am,2016,1454802126.29
